INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] platformservices->(paymentstandard,impex,deliveryzone,europe1,processing) 1905.6 [p*cb]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] hac->(impex,catalog,processing,platformservices) 1905.6 [p*cw]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] oauth2->platformservices 1905.6 [p*cibw]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] comments->(workflow,impex,catalog,processing) 1905.6 [p*ci]
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] concerttours 1905.6 [cibw] path:/home/jp/Documentos/sap/sap/hybris/bin/custom/concerttours
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.090 | INFO  [localhost-startStop-4] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.290 | INFO  [localhost-startStop-4] [Licence] ##########################################################################
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.290 | INFO  [localhost-startStop-4] [Licence] This Hybris licence is only for demo or develop usage and is valid for 30 days.
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.291 | INFO  [localhost-startStop-4] [Licence] After this time you have to reinitialize database to continue your work.
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.291 | INFO  [localhost-startStop-4] [Licence] Remaining days ====> 28
INFO   | jvm 1    | main    | 2019/12/27 19:00:35.291 | INFO  [localhost-startStop-4] [Licence] ##########################################################################
INFO   | jvm 1    | main    | 2019/12/27 19:00:37.494 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<global>> spring config from extension (core) located in (global-core-spring.xml,core-cache.xml,global-servicelayer-spring.xml,global-core-jmx-spring.xml,global-statistics-spring.xml) took: (293.0 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:37.894 | INFO  [localhost-startStop-4] [HybrisContextFactory] - Refreshing SpringContext (Global context) took: (401.0 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:37.894 | INFO  [localhost-startStop-4] [HybrisContextFactory] Initializing <<global>> Spring ApplicationContext took: (752.1 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.195 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (core) located in (core-spring.xml,persistence-spring.xml,core-media-spring.xml,core-profiling-spring.xml,core-jmx-spring.xml,core-filter-spring.xml,servicelayer-spring.xml,user-spring.xml,security-spring.xml,media-spring.xml,i18n-spring.xml,interceptor-spring.xml,event-spring.xml) took: (271.1 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.195 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (scripting) located in (scripting-spring.xml) took: (14.73 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.195 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (commons) located in (commons-spring.xml) took: (11.18 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.295 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (processing) located in (processing-spring.xml,cronjob-spring.xml,task-spring.xml,processengine-spring.xml,processing-jmx-spring.xml,processing-distributed-spring.xml) took: (99.11 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.295 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (impex) located in (impex-spring.xml) took: (11.48 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.295 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (validation) located in (validation-spring.xml) took: (23.91 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.295 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (europe1) located in (europe1-spring.xml) took: (10.99 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.395 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformservices) located in (catalog-spring.xml,order-spring.xml,product-spring.xml,category-spring.xml,classification-spring.xml,jobs-spring.xml,converters-spring.xml,audit-spring.xml) took: (98.33 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.395 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (hac) located in (hac-spring.xml) took: (10.35 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.495 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (oauth2) located in (oauth2-spring.xml) took: (14.03 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.495 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (workflow) located in (workflow-spring.xml) took: (12.37 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.495 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (comments) located in (comments-spring.xml) took: (8.648 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:38.495 | INFO  [localhost-startStop-4] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (concerttours) located in (concerttours-spring.xml) took: (9.047 ms)
INFO   | jvm 1    | main    | 2019/12/27 19:00:40.000 | INFO  [localhost-startStop-4] [LazyInitOverrideBeanFactoryPostProcessor] Setting lazy-init='false' for configuration beans
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.025 | INFO  [localhost-startStop-4] [EHCacheRegion] EHCacheRegion entityCacheRegion, eviction policy FIFO, size 100000
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.125 | INFO  [localhost-startStop-4] [EHCacheRegion] EHCacheRegion queryCacheRegion, eviction policy FIFO, size 20000
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [EHCacheRegion] EHCacheRegion sessionCacheRegion, eviction policy LRU, size 50000
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Regioncache initialized with region count 6
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: typesystemCacheRegion, size: 0, types: [81, 82, 83, 84, 87], statistics: true, class: class de.hybris.platform.regioncache.region.impl.UnlimitedCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: entityCacheRegion, size: 100000, types: [__ALL_TYPES__, __NO_QUERY__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: queryCacheRegion, size: 20000, types: [__QUERY_CACHE__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: mediaCacheRegion, size: 0, types: [__MEDIA__cache], statistics: true, class: class de.hybris.platform.media.storage.impl.MediaCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: scriptsCacheRegion, size: 0, types: [__SCRIPT__], statistics: true, class: class de.hybris.platform.scripting.engine.internal.cache.impl.ScriptsCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Cache region: Name: sessionCacheRegion, size: 50000, types: [__SESSION__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.226 | INFO  [localhost-startStop-4] [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@67c9973e on cache controller. Currently registered 1
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.626 | INFO  [localhost-startStop-4] [HybrisSpringSessionFilter] Hybris Spring Session filter disabled
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.726 | INFO  [localhost-startStop-4] [Reflections] Reflections took 84 ms to scan 1 urls, producing 9 keys and 16 values 
INFO   | jvm 1    | main    | 2019/12/27 19:00:42.726 | INFO  [localhost-startStop-4] [Reflections] Reflections took 3 ms to scan 1 urls, producing 2 keys and 5 values 
INFO   | jvm 1    | main    | 2019/12/27 19:00:43.831 | INFO  [localhost-startStop-4] [ListMergeDirectiveBeanPostProcessor] Post Processing ListMergeDirective [priceProcessorsMergeDirective] on Bean [defaultPriceProcessors]
INFO   | jvm 1    | main    | 2019/12/27 19:00:43.831 | INFO  [localhost-startStop-4] [ListMergeDirectiveBeanPostProcessor] Post Processing ListMergeDirective [discountProcessorsMergeDirective] on Bean [defaultDiscountProcessors]
INFO   | jvm 1    | main    | 2019/12/27 19:00:43.932 | INFO  [localhost-startStop-4] [ListMergeDirectiveBeanPostProcessor] Post Processing ListMergeDirective [taxProcessorsMergeDirective] on Bean [defaultTaxProcessors]
INFO   | jvm 1    | main    | 2019/12/27 19:00:43.932 | INFO  [localhost-startStop-4] [PricingCustomizationDetector] PDT smart calculation mode is enabled (pdt.calculation.mode=smart). This setting is not recommended for production environment.
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart memoryChart
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart threadsChart
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart osChart
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart sessionsChart
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart taskQueueSizeChart_master
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart taskQueuePoolingSizeChart_master
INFO   | jvm 1    | main    | 2019/12/27 19:00:44.332 | INFO  [localhost-startStop-4] [StatisticsService] adding chart dbConnectionsInUseChart_master
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.333 | INFO  [localhost-startStop-4] [HybrisContextFactory] - Refreshing SpringContext (hybris Application context - master) took: (6.870 s)
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.333 | INFO  [localhost-startStop-4] [HybrisContextFactory] Initializing application Spring ApplicationContext for tenant master  took: (7.477 s)
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-4] [BlockingTenantStartupNotifier] Scheduling 10 tenant startup listeners to be notified for tenant <<master>>
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Starting notifing listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Executing startup listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.core.JMXBeanLoader@63681012 for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-2] [BlockingTenantStartupNotifier] Other thread is already notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [AfterSaveEventPublisher-master] [BlockingTenantStartupNotifier] Other thread is already notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-2] [BlockingTenantStartupNotifier] Waiting for other thread to finish notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [AfterSaveEventPublisher-master] [BlockingTenantStartupNotifier] Waiting for other thread to finish notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-3] [BlockingTenantStartupNotifier] Other thread is already notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-3] [BlockingTenantStartupNotifier] Waiting for other thread to finish notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-4] [BlockingTenantStartupNotifier] Other thread is already notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.334 | INFO  [localhost-startStop-4] [BlockingTenantStartupNotifier] Waiting for other thread to finish notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] de.hybris.platform.core.JMXBeanLoader@63681012 has finished successfully in 77.61 ms.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.cluster.DefaultBroadcastService$1$1@33a7b723 for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener RegionCacheAdapter(297007204) - <<master>> on cache controller. Currently registered 2
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [DefaultBroadcastService] updating cluster island ID -1->15484942008948960
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] de.hybris.platform.cluster.DefaultBroadcastService$1$1@33a7b723 has finished successfully in 36.51 ms.
INFO   | jvm 1    | main    | 2019/12/27 19:00:45.434 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.cronjob.jalo.CronJobManager$CronJobTenantListener@25abdf9b for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.235 | INFO  [localhost-startStop-1] [DefaultTaskService] Task engine starting up (min:10 max:10 idle:20s interval:10s)
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.235 | INFO  [Task-master-poll] [BlockingTenantStartupNotifier] Other thread is already notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [Task-master-poll] [BlockingTenantStartupNotifier] Waiting for other thread to finish notifying listeners for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] de.hybris.platform.cronjob.jalo.CronJobManager$CronJobTenantListener@25abdf9b has finished successfully in 777.8 ms.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.spring.HybrisRequestScope$1@156cf5cf for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] de.hybris.platform.spring.HybrisRequestScope$1@156cf5cf has finished successfully in 32.67 μs.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.servicelayer.internal.model.impl.ModelContextProxy$2@4447ba49 for tenant <<master>>.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] de.hybris.platform.servicelayer.internal.model.impl.ModelContextProxy$2@4447ba49 has finished successfully in 101.6 μs.
INFO   | jvm 1    | main    | 2019/12/27 19:00:46.236 | INFO  [localhost-startStop-1] [BlockingTenantStartupNotifier] Notifying de.hybris.platform.jalo.user.UserManager$1@3abc6e4a for tenant <<master>>.
